target_time_s,saved_set,saved_time_s,svar_index,bin_index,radial_depth_percent_start,radial_depth_percent_end,radial_depth_mm_start,radial_depth_mm_end,raw_max_value,plotted_max_value,interpolated,nodal_sample_count
2,112,2,1,38,37,38,0.469900,0.482600,0.11565753817558289,0.11565753817558289,0,303
2,112,2,1,39,38,39,0.482600,0.495300,,0.1074601449072361,1,0
2,112,2,1,40,39,40,0.495300,0.508000,0.099262751638889313,0.099262751638889313,0,303
2,112,2,1,41,40,41,0.508000,0.520700,0.084928214550018311,0.084928214550018311,0,303
2,112,2,1,42,41,42,0.520700,0.533400,,0.078688263893127441,1,0
2,112,2,1,43,42,43,0.533400,0.546100,0.072448313236236572,0.072448313236236572,0,303
2,112,2,1,44,43,44,0.546100,0.558800,0.061625363305211067,0.061625363305211067,0,303
2,112,2,1,45,44,45,0.558800,0.571500,,0.056949150748550892,1,0
2,112,2,1,46,45,46,0.571500,0.584200,0.052272938191890717,0.052272938191890717,0,303
2,112,2,1,47,46,47,0.584200,0.596900,0.044218443334102631,0.044218443334102631,0,303
2,112,2,1,48,47,48,0.596900,0.609600,,0.040760808624327183,1,0
2,112,2,1,49,48,49,0.609600,0.622300,0.037303173914551735,0.037303173914551735,0,303
2,112,2,1,50,49,50,0.622300,0.635000,0.031383408233523369,0.031383408233523369,0,303
2,112,2,1,51,50,51,0.635000,0.647700,,0.0288564283400774,1,0
2,112,2,1,52,51,52,0.647700,0.660400,0.026329448446631432,0.026329448446631432,0,303
2,112,2,1,53,52,53,0.660400,0.673100,,0.024177562911063433,1,0
2,112,2,1,54,53,54,0.673100,0.685800,0.022025677375495434,0.022025677375495434,0,303
2,112,2,1,55,54,55,0.685800,0.698500,0.018370863050222397,0.018370863050222397,0,303
2,112,2,1,56,55,56,0.698500,0.711200,,0.016824146499857306,1,0
2,112,2,1,57,56,57,0.711200,0.723900,0.015277429949492216,0.015277429949492216,0,303
2,112,2,1,58,57,58,0.723900,0.736600,0.012667912058532238,0.012667912058532238,0,303
2,112,2,1,59,58,59,0.736600,0.749300,,0.011570898815989494,1,0
2,112,2,1,60,59,60,0.749300,0.762000,0.010473885573446751,0.010473885573446751,0,303
2,112,2,1,61,60,61,0.762000,0.774700,0.0086352215148508549,0.0086352215148508549,0,303
2,112,2,1,62,61,62,0.774700,0.787400,,0.0078672801610082388,1,0
2,112,2,1,63,62,63,0.787400,0.800100,0.0070993388071656227,0.0070993388071656227,0,303
2,112,2,1,64,63,64,0.800100,0.812800,,0.0064599053002893925,1,0
2,112,2,1,65,64,65,0.812800,0.825500,0.0058204717934131622,0.0058204717934131622,0,303
2,112,2,1,66,65,66,0.825500,0.838200,0.0047589701134711504,0.0047589701134711504,0,303
2,112,2,1,67,66,67,0.838200,0.850900,,0.0043198020430281758,1,0
2,112,2,1,68,67,68,0.850900,0.863600,0.0038806339725852013,0.0038806339725852013,0,303
