time_s,layer,hot_radius_m,alpha_avg,saved_set,saved_time_s,surface_node_count,h_W_m2_K,surface_temperature_mean_C,surface_temperature_std_C,surface_temperature_min_C,surface_temperature_max_C,recession_rate_mean_um_s,recession_rate_std_um_s,recession_rate_min_um_s,recession_rate_max_um_s,controller_rate_from_Ts_max_um_s,temperature_unit
3.85,0,0.13335,0.99613845,77,3.85,135900,858.5686,1523.3400127783189,0.050166483927797545,1522.9476550719187,1523.9586285492112,28.92599329594936,0.0020510175177529217,28.900701673265885,28.942034534362843,28.900702840478093,degC
3.9,0,0.13335,0.99663735,78,3.9000000000000004,135900,858.91463,1526.3863960489227,0.05007445545358365,1526.0338024317841,1526.9744983274477,28.81305217790981,0.0020480801132555303,28.78899838500688,28.827473502490996,28.78899831659833,degC
3.95,0,0.13335,0.99707672,79,3.95,135900,859.26663,1529.393848625702,0.05077584830122759,1529.0852144217777,1529.9557923813788,28.701803013531567,0.0020776186692946174,28.67880970318918,28.714431540784357,28.678809391454568,degC
4.0,0,0.13335,0.99746294,80,4.0,135900,859.62433,1532.363338606217,0.052013622072752175,1532.0875475096068,1532.9041997607285,28.592196586407983,0.00212915119167442,28.570056709857024,28.603485954819575,28.570056700062572,degC
4.05,0,0.13335,0.9978018,81,4.05,135900,859.98739,1535.2954958448963,0.053390028731600696,1535.0094479252011,1535.8178649505353,28.484195363385314,0.002186416736234007,28.46280341844365,28.49590953499835,28.46280198310566,degC
4.1,0,0.13335,0.99809856,82,4.1000000000000005,135900,860.35545,1538.1912389632332,0.05479546179817967,1537.894229746732,1538.699587873195,28.377749526106193,0.0022449321044443167,28.356922823478225,28.389917787921284,28.35692232665143,degC
4.15,0,0.13335,0.99835797,83,4.15,135900,860.72798,1541.0506253392243,0.05483863830784871,1540.7484586990045,1541.5489305123226,28.272839159858695,0.0022476738274602543,28.252415102474675,28.285224078042493,28.252416353084662,degC
4.2,0,0.13335,0.99858432,84,4.2,135900,861.10435,1543.8751736843383,0.05351331930736132,1543.5729566396242,1544.3684457508311,28.169381489567183,0.002194312001833702,28.14915488374858,28.18177389013134,28.149156759759993,degC
4.25,0,0.13335,0.99878146,85,4.25,135900,861.48381,1546.6667506859474,0.051518583382978426,1546.364990696719,1547.156604958631,28.067275826535703,0.002113448833265284,28.047180515813025,28.07965493821314,28.04718071923114,degC
4.3,0,0.13335,0.99895285,86,4.3,135900,861.86545,1549.4263343370076,0.048793801952565455,1549.1276534348585,1549.9138768697705,27.966453059394496,0.002002556765574229,27.946443722994786,27.978711285591505,27.946442773702138,degC
4.35,0,0.13335,0.99910159,87,4.3500000000000005,135900,862.24833,1552.1550129394816,0.04593410007353865,1551.8621303809502,1552.6409639146611,27.86683900820495,0.001886028622783889,27.846886131213957,27.878864603299203,27.846884649569997,degC
4.4,0,0.13335,0.99923044,88,4.4,135900,862.63138,1554.8535284066315,0.043268463263507875,1554.568349960787,1555.3452184297944,27.76836996027231,0.0017773682940704309,27.748172472500237,27.780084430571588,27.748173229553522,degC
4.45,0,0.13335,0.99934186,89,4.45,135900,863.01338,1557.5222818326533,0.04092095214221493,1557.2462578243317,1558.0207544502184,27.670991900156636,0.001681682343860532,27.650506731655565,27.682335348365335,27.650504859747425,degC
4.5,0,0.13335,0.99943805,90,4.5,135900,863.39309,1560.1615742151694,0.03905776618208269,1559.8959169830387,1560.6392877659607,27.574654874552397,0.001605819306306945,27.555014180326094,27.585577094482414,27.555013677336333,degC
4.55,0,0.13335,0.99952093,91,4.55,135900,863.76938,1562.77171724537,0.037670136713244776,1562.514199499898,1563.2272071422492,27.479312575544355,0.001549443363491173,27.4605774219337,27.489904763322695,27.460577715707803,degC
4.6,0,0.13335,0.99959223,92,4.6000000000000005,135900,864.14131,1565.3528644455366,0.03659787474230386,1565.092883474038,1565.7992199308771,27.384931739013386,0.0015059874010966941,27.36656439549779,27.395629848407967,27.366565215645142,degC
4.65,0,0.13335,0.99965346,93,4.65,135900,864.508,1567.905228261219,0.035751337802601146,1567.6416318212969,1568.3470853347865,27.29147898696906,0.0014717770257643378,27.27328903578068,27.302330474163533,27.273288432057143,degC
4.7,0,0.13335,0.99970595,94,4.7,135900,864.8687,1570.4291955179895,0.03518961216327494,1570.1621984378949,1570.8670305993855,27.198918220252867,0.0014492568631026543,27.180886322269007,27.20991428775599,27.180887582480953,degC
4.75,0,0.13335,0.99975087,95,4.75,135900,865.22279,1572.9250990124735,0.034902293314475315,1572.6547514535978,1573.3579721681742,27.10721992585245,0.0014380123618547005,27.08938508206714,27.118358538669597,27.089383935365717,degC
4.8,0,0.13335,0.99978925,96,4.800000000000001,135900,865.56992,1575.393315463518,0.03494546331714768,1575.1197844285555,1575.820491192273,27.016361428462286,0.001440368661323161,26.998754263635405,27.027635725417046,26.9987539006019,degC
4.85,0,0.13335,0.999822,97,4.8500000000000005,135900,865.9099,1577.834148092821,0.035231944258614055,1577.5572603779995,1578.2545228598044,26.926328143969524,0.001452747110942004,26.908994492900902,26.93774527794345,26.908995435497612,degC
4.9,0,0.13335,0.99984988,98,4.9,135900,866.2425,1580.247921142571,0.03569487793488051,1579.9645039912584,1580.6606035603197,26.83710339498363,0.0014724009666431332,26.820080392638076,26.848794251254866,26.820080539499997,degC
4.95,0,0.13335,0.99987358,99,4.95,135900,866.56769,1582.634854446396,0.03619013543261478,1582.3407382031448,1583.039181405122,26.748681014542854,0.0014933905744108729,26.731996410798686,26.76081775899552,26.731995643478662,degC
5.0,0,0.13335,0.9998937,100,5.0,135900,866.88553,1584.9951355638937,0.036601441276810726,1584.6910649385657,1585.390888171781,26.661058879036773,0.0015109171342862807,26.644722107168327,26.67361099452224,26.64472161889633,degC
5.05,0,0.13335,0.99991075,101,5.050000000000001,135900,867.19599,1587.3290150654132,0.036924892730538283,1587.0166996951418,1587.7159546395887,26.574229410291636,0.0015248151860525166,26.558250722334602,26.587126488230417,26.55824884917429,degC
5.1,0,0.13335,0.99992518,102,5.1000000000000005,135900,867.49915,1589.636910758607,0.037248222806870714,1589.3195869382641,1590.0138787500346,26.4881814231325,0.0015387048392367145,26.47260907017342,26.50128990620022,26.472608192348332,degC
5.15,0,0.13335,0.99993736,103,5.15,135900,867.79526,1591.919134415121,0.037577297495015705,1591.599920371127,1592.286110720067,26.402913172488333,0.0015528286023706944,26.38774839639479,26.416104240788503,26.387748839386372,degC
5.2,0,0.13335,0.99994764,104,5.2,135900,868.08459,1594.17598659473,0.037957291931300784,1593.8560763543778,1594.5332913634359,26.31842380431279,0.0015690542954139783,26.303653767948628,26.331648049542913,26.30365341093585,degC
5.25,0,0.13335,0.99995629,105,5.25,135900,868.36752,1596.4078632069832,0.03847165598806226,1596.087828601406,1596.7556817360198,26.23471166240251,0.001590835071459379,26.220329076046816,26.247945360343422,26.220328320815998,degC
5.3,0,0.13335,0.99996357,106,5.300000000000001,135900,868.64447,1598.6151645723817,0.03915570677461613,1598.295573883403,1598.9527705708726,26.15177588264575,0.0016196375313672364,26.137811140568225,26.164995439057403,26.137809923261138,degC
5.35,0,0.13335,0.99996968,107,5.3500000000000005,135900,868.91605,1600.79823048912,0.04000461141240028,1600.4796793294224,1601.127834253147,26.069623564709726,0.0016552689966784601,26.055985564676224,26.082804241633887,26.055986981967145,degC
5.4,0,0.13335,0.99997481,108,5.4,135900,869.18309,1602.957319439762,0.04090772678547604,1602.6407093073274,1603.2894898613422,25.98827144179669,0.0016931573510607534,25.974523017347373,26.00137583099835,25.974522597711662,degC
5.45,0,0.13335,0.99997909,109,5.45,135900,869.44624,1605.0929122003836,0.0418675837195567,1604.779345225428,1605.427358828203,25.907721292415527,0.0017334101544216162,25.893874465604192,25.920703655623313,25.893872761001138,degC
5.5,0,0.13335,0.99998267,110,5.5,135900,869.70613,1607.205702759166,0.04293832435712575,1606.8969944558035,1607.536413241876,25.82796515475693,0.0017782725669200359,25.814268919801293,25.840750178748173,25.814269468208,degC
5.55,0,0.13335,0.99998566,111,5.550000000000001,135900,869.9634,1609.296273391175,0.044069635728663174,1608.9938317000065,1609.62118598981,25.748999680156388,0.0018256652445366416,25.735539581632015,25.76152888024926,25.73553900123428,degC
5.6,0,0.13335,0.99998814,112,5.6000000000000005,135900,870.21866,1611.3651879600693,0.045224372216735025,1611.0699389277977,1611.6840826030739,25.670821096368588,0.0018740520280851587,25.657606426420173,25.68305591623666,25.657605705509233,degC
5.65,0,0.13335,0.99999021,113,5.65,135900,870.4725,1613.412994193439,0.04635853015148961,1613.1256297997393,1613.7390841618835,25.593425430331024,0.001921610744632979,25.579908651756895,25.6053369923403,25.579907995249993,degC
5.7,0,0.13335,0.99999193,114,5.7,135900,870.72546,1615.4402665761313,0.04747741482641491,1615.145877647397,1615.7729960678723,25.51680586780834,0.0019685616125876665,25.50300986591541,25.529012150446025,25.503009702877144,degC
5.75,0,0.13335,0.99999336,115,5.75,135900,870.97787,1617.447551231499,0.048600121649081326,1617.1442873006054,1617.7858026020622,25.440950394341577,0.002015696687412268,25.42692137251978,25.45352830732146,25.42692148044066,degC
5.8,0,0.13335,0.99999454,116,5.800000000000001,135900,871.23003,1619.435362462548,0.049757292055669936,1619.1228423500604,1619.7869401798375,25.365847285913972,0.0020642879547800048,25.351261330429136,25.378812852912933,25.35126299737585,degC
5.85,0,0.13335,0.99999552,117,5.8500000000000005,135900,871.48244,1621.4041554417813,0.0509613239012583,1621.0824033193837,1621.7684462049288,25.291492936355088,0.0021148523285285112,25.276375174300945,25.30484538038854,25.276377091766857,degC
5.9,0,0.13335,0.99999633,118,5.9,135900,871.73526,1623.3543626645778,0.05222005475980141,1623.0235015722674,1623.7298805585228,25.21787463626001,0.002167717286345222,25.202286436787954,25.23160907818043,25.202285629748854,degC
5.95,0,0.13335,0.99999699,119,5.95,135900,871.98851,1625.2863472823308,0.05353544759678568,1624.9465873309005,1625.671184513272,25.14497844016369,0.0022229664372430493,25.128998742849372,25.159086381773488,25.1289980997899,degC
6.0,0,0.13335,0.99999754,120,6.0,135900,872.24224,1627.200459207401,0.0549207816804987,1626.852073086825,1627.5917753804106,25.072791792186084,0.002281153601692812,25.05653834002923,25.08726212981448,25.056537317446097,degC
