target_time_s,saved_set,saved_time_s,svar_index,bin_index,radial_depth_percent_start,radial_depth_percent_end,radial_depth_mm_start,radial_depth_mm_end,raw_max_value,plotted_max_value,interpolated,nodal_sample_count
3,60,3,1,10,9,10,0.228600,0.254000,0.95496430993080139,0.95496430993080139,0,7956
3,60,3,1,11,10,11,0.254000,0.279400,0.93634621798992157,0.93634621798992157,0,6239
3,60,3,1,12,11,12,0.279400,0.304800,0.91389337182044983,0.91389337182044983,0,8585
3,60,3,1,13,12,13,0.304800,0.330200,0.8880441308021545,0.8880441308021545,0,9265
3,60,3,1,14,13,14,0.330200,0.355600,0.87259680032730103,0.87259680032730103,0,5304
3,60,3,1,15,14,15,0.355600,0.381000,0.84096752107143402,0.84096752107143402,0,1632
3,60,3,1,16,15,16,0.381000,0.406400,0.79568351507186885,0.79568351507186885,0,476
3,60,3,1,17,16,17,0.406400,0.431800,0.76039056479930878,0.76039056479930878,0,765
3,60,3,1,18,17,18,0.431800,0.457200,0.72593122720718384,0.72593122720718384,0,1989
3,60,3,1,19,18,19,0.457200,0.482600,0.68918667733669281,0.68918667733669281,0,2176
3,60,3,1,20,19,20,0.482600,0.508000,0.6451880931854248,0.6451880931854248,0,1717
3,60,3,1,21,20,21,0.508000,0.533400,0.60374825447797775,0.60374825447797775,0,2057
3,60,3,1,22,21,22,0.533400,0.558800,0.55939974188804631,0.55939974188804631,0,3009
3,60,3,1,23,22,23,0.558800,0.584200,0.51164211034774776,0.51164211034774776,0,5644
3,60,3,1,24,23,24,0.584200,0.609600,0.46831836700439455,0.46831836700439455,0,6851
3,60,3,1,25,24,25,0.609600,0.635000,0.4399609327316284,0.4399609327316284,0,7752
3,60,3,1,26,25,26,0.635000,0.660400,0.3362850733101368,0.3362850733101368,0,9265
3,60,3,1,27,26,27,0.660400,0.685800,0.31686240931351978,0.31686240931351978,0,2669
3,60,3,1,28,27,28,0.685800,0.711200,0.2604028582572937,0.2604028582572937,0,1632
3,60,3,1,29,28,29,0.711200,0.736600,0.24022024497389793,0.24022024497389793,0,2074
3,60,3,1,30,29,30,0.736600,0.762000,0.21351177431643009,0.21351177431643009,0,1360
3,60,3,1,31,30,31,0.762000,0.787400,0.17882980157931647,0.17882980157931647,0,629
3,60,3,1,32,31,32,0.787400,0.812800,0.1530027523636818,0.1530027523636818,0,408
3,60,3,1,33,32,33,0.812800,0.838200,0.14281237125396729,0.14281237125396729,0,1241
3,60,3,1,34,33,34,0.838200,0.863600,0.11265688985586167,0.11265688985586167,0,2822
3,60,3,1,35,34,35,0.863600,0.889000,0.11819655541330576,0.11819655541330576,0,4981
3,60,3,1,36,35,36,0.889000,0.914400,0.099269954860210424,0.099269954860210424,0,6171
3,60,3,1,37,36,37,0.914400,0.939800,0.10007661059498787,0.10007661059498787,0,6086
3,60,3,1,38,37,38,0.939800,0.965200,0.040752423740923402,0.040752423740923402,0,6154
